epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
148,50445.1,0.83534,1.5781,1.3557,0.58918,0.60371,0.62912,0.49103,0.78522,1.29603,1.38791,0.0027235,0.0027235,0.0027235
149,50790.5,0.83712,1.56546,1.35446,0.59241,0.60051,0.62944,0.49144,0.78527,1.29434,1.38751,0.002674,0.002674,0.002674
150,51132,0.83543,1.55224,1.35271,0.59395,0.6043,0.63096,0.49258,0.78454,1.29091,1.38635,0.0026245,0.0026245,0.0026245
151,51474.6,0.82466,1.54619,1.35003,0.59726,0.60542,0.63266,0.49391,0.78444,1.28704,1.38619,0.002575,0.002575,0.002575
152,51814.3,0.82907,1.55106,1.35123,0.59721,0.60651,0.63384,0.49409,0.78465,1.28368,1.38642,0.0025255,0.0025255,0.0025255
153,52159.7,0.83001,1.53178,1.35306,0.60118,0.60611,0.63472,0.49481,0.78362,1.28368,1.38558,0.002476,0.002476,0.002476
154,52500.8,0.81834,1.5442,1.34503,0.60235,0.60501,0.63556,0.49588,0.78287,1.28087,1.38469,0.0024265,0.0024265,0.0024265
155,52843.5,0.81995,1.52592,1.34298,0.60169,0.60966,0.63573,0.49623,0.78215,1.27987,1.38382,0.002377,0.002377,0.002377
156,53182.4,0.8119,1.51037,1.33324,0.60135,0.60801,0.63547,0.49646,0.78123,1.27868,1.38312,0.0023275,0.0023275,0.0023275
157,53522.4,0.81896,1.52421,1.33996,0.60215,0.60939,0.63778,0.49748,0.78035,1.27637,1.38226,0.002278,0.002278,0.002278
158,53865.2,0.81342,1.51664,1.33718,0.60052,0.61001,0.63949,0.49924,0.77937,1.2733,1.38123,0.0022285,0.0022285,0.0022285
159,54205.6,0.81236,1.50584,1.33596,0.60128,0.61158,0.64089,0.50198,0.77829,1.27111,1.38028,0.002179,0.002179,0.002179
160,54548.9,0.81656,1.51607,1.34312,0.59582,0.61703,0.64152,0.50324,0.77694,1.26976,1.37901,0.0021295,0.0021295,0.0021295
161,54894,0.80846,1.50564,1.33516,0.59534,0.61797,0.64303,0.50442,0.77644,1.26722,1.37825,0.00208,0.00208,0.00208
